Date,Open,High,Low,Close,Volume,AveragePrice,TrueRange,PriceAction,HighestHigh,LowestLow,SMA,EMA,EMA26,UpMove,DownMove,PlusDM,MinusDI,EMADM,ATR,PercK,PercD
28-01-2005,95.01,97.35,93.17,95.17,24416400,95.26,4.18,-0.01,102.65,88.145,96.00607143,94.97810657,94.63719876,2.92,-0.57,2.92,0,,3.13790038,7.286187415,7.974650736
31-01-2005,96.845,98.18,95.86,97.81,19193400,97.02,2.32,1.2725,102.65,88.145,96.02607143,95.35569236,94.87222108,0.83,-2.69,0.83,0,,3.079478925,4.774234914,6.825751999
01-02-2005,97.19,98.33,95.315,95.95,37678000,96.8225,3.015,-1.4925,102.65,88.145,95.9675,95.43493338,94.95205655,0.15,0.545,0,0.545,,3.074873287,6.43349257,6.1646383
02-02-2005,107.78,108.4,101.83,102.98,65598600,105.115,6.57,-4.535,102.65,88.145,96.34535714,96.44094226,95.54671903,10.07,-6.515,10.07,0,,3.324525195,-0.307878901,3.633282861
03-02-2005,103,106.68,102.9,105.43,25976200,104.79,3.78,1.855,108.4,88.145,96.9,97.63948329,96.27881392,-1.72,-1.07,0,0,,3.35705911,2.787554554,2.971056075
04-02-2005,103.24,103.88,101.3,102.18,29638600,102.59,2.58,-0.94,108.4,88.145,97.05714286,98.24488552,96.71593881,-2.8,1.6,0,1.6,,3.301554888,5.68867752,2.722784391
07-02-2005,102.63,103.2,97.755,98.015,25920800,100.4775,5.445,-4.77,108.4,88.145,96.77607143,98.21423412,96.81216557,-0.68,3.545,0,3.545,,3.45465811,9.176460193,5.884230756
08-02-2005,98.48,100.01,97.265,99.32,22960000,98.6375,2.745,1.1025,108.4,88.145,96.82392857,98.36166957,96.99793108,-3.19,0.49,0,0.49,,3.403968245,8.462452527,7.775863413
09-02-2005,100.38,100.8,94.73,95.79,34343000,97.765,6.07,-4.27,108.4,88.145,96.74035714,98.01878029,96.9084547,0.79,2.535,0,2.535,,3.594399085,11.19197657,9.610296429
10-02-2005,95.985,96.105,92.625,93.99,37965400,94.365,3.48,-1.3725,108.4,88.145,96.72964286,97.48160959,96.69227287,-4.695,2.105,0,2.105,,3.586227721,13.12714933,10.92719281
11-02-2005,93.33,96.16,93.035,93.7,26232000,94.5975,3.125,-0.7125,108.4,88.145,96.96821429,96.97739498,96.47062303,0.055,-0.41,0.055,0,,3.553282884,13.4723336,12.59715317
14-02-2005,91.425,96.54,90.5,96.495,77124400,93.52,6.04,5.51,108.4,89.575,97.535,96.91307565,96.47242873,0.38,2.535,0,2.535,,3.730905535,11.57060939,12.72336411
15-02-2005,96.8,99.92,96.54,97.615,51565600,98.23,3.38,-0.2075,108.4,90.5,97.74892857,97.00666556,96.55706364,3.38,-6.04,3.38,0,,3.705840854,9.930253436,11.65773214
16-02-2005,97.35,99.66,97.15,99.205,33064600,98.405,2.51,1.7275,108.4,90.5,98.11785714,97.29977682,96.75320708,-0.26,-0.61,0,0,,3.62042365,8.619841102,10.04023464
17-02-2005,98.915,99.88,98.405,98.95,20828800,99.1425,1.475,-0.175,108.4,90.5,98.38785714,97.51980658,96.91593248,0.22,-1.255,0.22,0,,3.467179104,8.703661064,9.084585201
18-02-2005,99.255,99.42,98.33,98.975,16971800,98.875,1.09,-0.04,108.4,90.5,98.47107143,97.71383237,97.068456,-0.46,0.075,0,0.075,,3.297380596,8.691442272,8.671648146
22-02-2005,98.25,99.45,95.195,95.685,26967400,97.3225,4.255,-2.92,108.4,90.5,98.45214286,97.44332138,96.96597778,0.03,3.135,0,3.135,,3.365781982,11.42202659,9.605709975
23-02-2005,96.65,97.24,94.33,96.975,31172000,95.785,2.91,1.3525,106.68,90.5,98.02321429,97.38087853,96.96664609,-2.21,0.865,0,0.865,,3.333226127,9.21411787,9.775862244
24-02-2005,91.685,94.925,91.115,94.445,51628600,93.02,3.81,2.805,103.88,90.5,97.23857143,96.98942806,96.77985749,-2.315,3.215,0,3.215,,3.367281403,9.334652486,9.990265649
25-02-2005,94.575,94.96,92.755,92.935,19947000,93.8575,2.205,-1.7425,103.2,90.5,96.57821429,96.44883765,96.49505323,0.035,-1.64,0.035,0,,3.284261303,9.781547038,9.443439131
28-02-2005,93,94.935,92.925,93.995,15636800,93.93,2.01,0.5625,100.8,90.5,96.29107143,96.1216593,96.3098641,-0.025,-0.17,0,0,,3.193242638,6.788876419,8.635025314
01-03-2005,94.645,94.875,91,93.03,18622400,92.9375,3.875,-0.715,100.8,90.5,95.84178571,95.70943806,96.06691121,-0.06,1.925,0,1.925,,3.241939593,7.654041275,8.074821577
02-03-2005,92.975,93.835,92.18,92.59,14571000,93.0075,1.655,-0.61,99.92,90.5,95.61321429,95.29351299,95.80936223,-1.04,-1.18,0,0,,3.128586765,7.291355814,7.244757836
03-03-2005,93.065,93.875,92.155,93.505,15217200,93.015,1.72,0.71,99.92,90.5,95.57857143,95.05504459,95.63866873,0.04,0.025,0.04,0,,3.027973424,6.466082048,7.137159712
04-03-2005,93.35,93.625,92.535,92.95,13548200,93.08,1.09,-0.33,99.92,90.5,95.525,94.77437198,95.43950808,-0.25,-0.38,0,0,,2.889546751,6.952618454,6.903352105
07-03-2005,93.89,94.8,93.515,94.405,17334800,94.1575,1.285,0.505,99.92,91,95.37571429,94.72512238,95.36287785,1.175,-0.98,1.175,0,,2.774936269,5.547452598,6.322051033
08-03-2005,94.55,94.925,92.485,92.6,16092200,93.705,2.44,-2.08,99.88,91,95.0175,94.44177273,95.15822024,0.125,1.03,0,1.03,,2.75101225,7.140054923,6.546708658
09-03-2005,92.105,92.325,90.08,90.675,22720800,91.2025,2.245,-1.2425,99.88,91,94.40821429,93.93953636,94.82612985,-2.6,2.405,0,2.405,,2.714868518,9.102820836,7.263442786
10-03-2005,90.505,90.6,88.7,89.99,21921000,89.65,1.9,0.0825,99.45,90.08,93.76821429,93.41293152,94.46789801,-1.725,1.38,0,1.38,,2.656663624,9.520215362,8.587697041
11-03-2005,90.22,90.475,88.575,88.9,16056600,89.525,1.9,-1.285,99.45,88.7,93.04857143,92.81120731,94.05546112,-0.125,0.125,0,0.125,,2.602616222,10.47302328,9.698686492
14-03-2005,89.165,89.2,86.285,87.495,22293200,87.7425,2.915,-1.0825,97.24,88.575,92.46357143,92.10237967,93.56950103,-1.275,2.29,0,2.29,,2.624929349,9.91126141,9.968166684
15-03-2005,87.65,90,87.105,89.305,20844200,88.5525,2.895,1.58,94.96,86.285,91.91571429,91.72939572,93.25361207,0.8,-0.82,0.8,0,,2.64422011,6.055900621,8.813395103
16-03-2005,88.35,89.305,87.505,87.8,14212600,88.405,1.8,-0.88,94.96,86.285,91.44107143,91.20547629,92.84964081,-0.695,-0.4,0,0,,2.583918673,7.470784641,7.812648891
17-03-2005,88.565,89.82,87.9,89.645,16521200,88.86,1.92,1.325,94.935,86.285,91.20607143,90.99741278,92.61226,0.515,-0.395,0.515,0,,2.536495911,5.651105651,6.392596971
18-03-2005,89.405,90.2,89.155,90.02,14180000,89.6775,1.045,0.65,94.925,86.285,90.92214286,90.86709108,92.42024075,0.38,-1.255,0.38,0,,2.429960489,5.202863962,6.108251418
21-03-2005,89.635,91.085,88.625,90.44,14967400,89.855,2.46,0.9875,94.925,86.285,90.73714286,90.8101456,92.27355625,0.885,0.53,0.885,0,,2.432106168,4.774451098,5.20947357
