Date,Open,High,Low,Close,Volume,AveragePrice,TrueRange,PriceAction,HighestHigh,LowestLow,SMA,EMA,EMA26,UpMove,DownMove,PlusDM,MinusDI,EMADM,ATR,PercK,PercD,AverageGain,AverageLoss,RSI,Momentum,MiddleBand,UpperBand,LowerBand,PPO,VarOpen,VarHigh,VarLow,VarClose,VarAvg,VarPA,VarHH,VarLL,VarSMA,VarEMA,VarATR,VarK,VarD,VarMomentum,VarUB,VarLB,VarPPO,Class
17-09-2004,57.21,58.745,56.775,58.745,9482000,57.76,1.9699999999999989,1.7524999999999977,57.9,49.47,52.861428571428576,54.25265713367819,0,0.8449999999999989,-0.9499999999999957,0.8449999999999989,0.0,0,2.0174094508124605,-1.5049646021639411,-0.42507391248237963,0.46153846153846156,-0.44384615384615356,0,86.82441058813517,52.861428571428576,58.116417266118475,47.606439876738676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-09-2004,58.475,60.8,58.385,59.68,10639400,59.5925,2.414999999999999,0.6900000000000013,58.745,49.47,53.48107142857142,54.97630284918777,0,2.0549999999999997,-1.6099999999999994,2.0549999999999997,0.0,0,2.0458087757544274,-1.6105417276720393,-0.9619211550397261,0.6880769230769231,-0.5619230769230769,0,85.76575067024129,53.48107142857142,59.858690003033104,47.10345285410973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21-09-2004,59.905,60.21,58.755,58.92,7236000,59.4825,1.4549999999999983,-1.0549999999999997,60.8,49.47,54.03357142857142,55.50212913596273,0,-0.5899999999999963,-0.37000000000000455,0.0,0.0,0,2.0036081489148256,3.039366259801141,-0.0253800233449466,0.6711538461538462,-0.6861538461538463,0,85.07298031228785,54.03357142857142,61.117988742741915,46.949154114400926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-09-2004,58.7,59.835,58.405,59.19,7588800,59.120000000000005,1.4299999999999997,0.3149999999999942,60.8,49.47,54.68107142857142,55.9938452511677,0,-0.375,0.3500000000000014,0.0,0.3500000000000014,0,1.9626361382780524,2.661816979416383,1.3635471705151616,0.6653846153846152,-0.6873076923076925,0,85.74928197330631,54.68107142857142,62.037927653650414,47.32421520349243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-09-2004,59.42,61.315,58.51,60.41,8544200,59.912499999999994,2.8049999999999997,0.9924999999999962,60.8,49.66,55.37071428571428,56.58266588434534,0,1.4799999999999969,-0.10499999999999687,1.4799999999999969,0.0,0,2.022804985543906,0.6520921289135987,2.1177584560437075,0.8034615384615384,-0.6807692307692309,0,82.77603045853337,55.37071428571428,62.86312267797931,47.878305893449244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24-09-2004,60.47,62.05,59.88,59.915,9132600,60.965,2.1699999999999946,-1.3275000000000006,61.315,49.805,56.078571428571415,57.02697709976596,56.41518518518517,0.7349999999999994,-1.3700000000000045,0.7349999999999994,0.0,0,2.033318915147912,2.234904417927124,1.8496045087523685,0.8499999999999998,-0.7750000000000002,0,84.77009096219645,56.078571428571415,63.6199406312129,48.53720222592993,1.0844454601585591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27-09-2004,59.78,60.44,58.9,59.13,7073200,59.67,1.5399999999999991,-0.8649999999999949,62.05,50.25,56.6742857142857,57.307380153130495,56.61628257887516,-1.6099999999999994,0.980000000000004,0.0,0.980000000000004,0,1.998081849780204,4.641182547882055,2.509393031574259,0.6865384615384613,-0.6653846153846152,0,86.50431253170979,56.6742857142857,63.755395053790494,49.59317637478091,1.2206692894266464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-09-2004,60.65,63.7,60.105,63.43,16946000,61.9025,3.595000000000006,2.9175000000000004,62.05,50.5,57.551428571428566,58.12372946604643,57.12100238784737,3.260000000000005,-1.2049999999999983,3.260000000000005,0.0,0,2.1121474319387614,-2.333742020039746,1.5141149819231445,0.9496153846153851,-0.7388461538461536,0,80.64795837931578,57.551428571428566,64.36488307155365,50.73797407130348,1.7554437707353516,Downtrend,Downtrend,Downtrend,Downtrend,Downtrend,Uptrend,Downtrend,Downtrend,Downtrend,Downtrend,Downtrend,Notrend,Notrend,Downtrend,Downtrend,Downtrend,Uptrend,Sell
29-09-2004,63.35,67.51,63.115,65.54,30547000,65.3125,4.395000000000003,1.3225000000000051,63.7,50.65,58.57892857142856,59.112565537240236,57.74463184059942,3.8100000000000023,-3.010000000000005,3.8100000000000023,0.0,0,2.2752083296574215,-2.949781571880892,-0.21411368134619435,1.094615384615385,-0.9588461538461541,0,80.35550808666463,58.57892857142856,65.56671026482064,51.59114687803648,2.368936562652122,Downtrend,Downtrend,Downtrend,Downtrend,Downtrend,Notrend,Downtrend,Downtrend,Downtrend,Downtrend,Downtrend,Notrend,Notrend,Downtrend,Downtrend,Downtrend,Uptrend,Sell
30-09-2004,64.95,66.15,64.5,64.8,13771800,65.325,1.6500000000000057,-0.6000000000000085,67.51,53.23,59.44571428571427,59.87089013227487,58.26725170425872,-1.3599999999999994,-1.384999999999998,0.0,0.0,0,2.230550591824749,3.9788577301424275,-0.4348886205927367,0.9188461538461544,-0.8669230769230771,0,82.94753086419753,59.44571428571427,66.31835814771135,52.57307042371718,2.7522122309038735,Downtrend,Downtrend,Downtrend,Downtrend,Downtrend,Notrend,Downtrend,Downtrend,Downtrend,Downtrend,Downtrend,Uptrend,Notrend,Downtrend,Downtrend,Downtrend,Uptrend,Sell
